,aspd,attack_max,attack_min,base_exp,def_left,def_right,elem_air,elem_angin,elem_api,elem_ghost,elem_holy,elem_netral,elem_racun,elem_shadow,elem_tanah,elem_undead,element,hp,job_exp,level,mdef_left,mdef_right,move_speed,mvp_exp,name,param_100_hit,param_95_flee,param_agi,param_dex,param_int,param_luk,param_str,param_vit,race,range_attack,range_chase,range_sight,size,url
1,0.73,13,12,4,16,3,150,100,25,100,100,100,125,100,90,100,Api 1,55,3,3,0,3,2.5,0,Drops (1113/Drops/DROPS),204,244,1,6,0,2,8,1,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1113-DROPS
2,0.78,142,100,431,50,36,75,75,75,50,150,100,25,-25,75,0,Darkness 2,1162,176,24,15,52,4.0,0,Drainliar (1111/Drainliar/DRAINLIAR),262,309,34,50,22,20,35,24,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1111-DRAINLIAR
3,1.02,549,367,2662,72,61,100,100,100,75,125,100,50,0,100,0,Darkness 1,6666,1278,46,16,142,6.67,0,Deviruchi (1109/Deviruchi/DEVIRUCHI),296,380,49,99,85,5,61,30,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1109-DEVIRUCHI
4,1.15,1342,866,25025,166,116,150,100,25,100,100,100,125,100,90,100,Api 1,152000,12870,65,70,147,3.33,12512,Eddga (1115/Eddga/EDDGA),362,390,80,90,66,85,92,103,Beast,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1115-EDDGA
5,0.87,347,317,889,85,50,100,100,100,75,125,100,50,0,100,0,Darkness 1,2697,455,33,20,61,4.0,0,Dokebi (1110/Dokebi/DOKEBI),294,328,56,60,20,25,52,35,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1110-DOKEBI
6,1.0,189,158,218,69,44,80,0,100,75,100,100,125,100,175,75,Angin 2,1044,140,21,50,86,6.67,0,Dustiness (1114/Dustiness/DUSTINESS),264,324,22,68,60,105,46,46,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1114-DUSTINESS
7,0.55,145,105,215,85,36,100,100,100,150,100,50,75,100,100,100,Ghost 2,633,220,24,20,45,5.0,0,Eggyra (1116/Eggyra/EGGYRA),253,311,25,52,15,20,46,25,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1116-EGGYRA
8,0.7,186,155,357,99,43,100,90,150,100,100,100,125,100,25,100,Tanah 1,2092,226,26,29,37,1.0,0,Flora (1118/Flora/FLORA),271,303,29,42,5,80,49,35,Plant,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1118-FLORA
9,0.44,412,344,2890,88,70,150,100,200,175,200,100,-100,-100,50,0,Undead 4,16506,1827,58,45,117,3.33,0,Evil Druid (1117/Evil Druid/EVIL_DRUID),291,364,32,71,45,5,62,24,Undead,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1117-EVIL_DRUID
10,0.65,214,172,529,84,49,150,100,25,100,100,100,125,100,90,100,Api 1,2023,319,30,10,52,3.33,0,Frilldora (1119/Frilldora/FRILLDORA),274,311,38,46,15,30,48,38,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1119-FRILLDORA
11,0.82,512,350,101,88,51,100,100,100,200,100,0,25,100,100,100,Ghost 4,73300,108,18,72,88,3.33,0,Ghostring (1120/Ghostring/GHOSTRING),316,352,85,99,66,66,66,66,Demon,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1120-GHOSTRING
12,0.54,85,70,495,52,44,100,90,150,100,100,100,125,100,25,100,Tanah 1,2252,301,29,16,46,5.0,0,Giearth (1121/Giearth/GIEARTH),251,292,19,28,10,15,27,30,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1121-GIEARTH
13,1.61,3341,1938,28600,279,127,100,100,125,100,150,100,-25,-25,100,0,Undead 1,326666,22880,70,135,194,2.5,14300,Drake (1112/Drake/DRAKE),387,440,103,135,107,71,121,114,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1112-DRAKE
14,0.76,122,94,287,52,36,150,100,25,100,100,100,125,100,90,100,Api 1,1034,176,24,5,45,6.67,0,Goblin (1123/Goblin/GOBLIN_2),242,317,16,58,15,10,33,24,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1123-GOBLIN_2
15,0.62,121,88,357,47,36,100,100,100,100,100,100,0,50,100,50,Racun 1,1034,176,24,5,45,4.0,0,Goblin (1124/Goblin/GOBLIN_3),242,276,16,17,15,10,30,24,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1124-GOBLIN_3
16,0.89,121,87,310,56,37,90,25,100,100,100,100,125,100,150,100,Angin 1,1176,188,25,5,51,10.0,0,Goblin (1122/Goblin/GOBLIN_1),281,296,54,36,20,10,37,25,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1122-GOBLIN_1
17,0.33,190,159,241,64,33,25,175,90,100,100,100,100,100,100,100,Air 1,1952,152,22,5,42,3.33,0,Goblin (1126/Goblin/GOBLIN_5),261,295,37,38,15,10,51,22,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1126-GOBLIN_5
18,0.62,94,72,264,70,46,100,90,150,100,100,100,125,100,25,100,Tanah 1,1359,164,23,3,43,5.0,0,Goblin (1125/Goblin/GOBLIN_4),252,292,27,34,15,10,31,46,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1125-GOBLIN_4
19,0.68,215,170,550,91,47,100,80,175,75,100,100,125,100,0,75,Tanah 2,2282,300,26,24,37,5.0,0,Hode (1127/Hode/HODE),250,290,16,29,5,40,61,42,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1127-HODE
20,0.65,75,64,134,52,36,100,90,150,100,100,100,125,100,25,100,Tanah 1,659,86,18,8,47,5.0,0,Horn (1128/Horn/HORN),237,274,12,21,25,35,10,36,Insect,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1128-HORN
